# FRS_AoQ shift value 
# Low WR, High WR   AoQ_TPC       AoQ_SC21    AoQ_Sc22
 27798     27858    -0.0046252  -0.0064891	-0.0084780
 27858     27918    -0.0046746  -0.0067766	-0.0086037
 27918     27978    -0.0047779  -0.0067462	-0.0084179
 27978     28038    -0.0047445  -0.0068705	-0.0088004
 28038     28098    -0.0049447  -0.0069112	-0.0088427
 28098     28158    -0.0049287  -0.0070267	-0.0087776
 28158     28218    -0.0049879  -0.0070235	-0.0088126
 28218     28278    -0.0050880  -0.0070859	-0.0090765
 28278     28338    -0.0051472  -0.0070432	-0.0088947
 28338     28398    -0.0052158  -0.0073515	-0.0090196
 28398     28458    -0.0051847  -0.0071994	-0.0088594
 28458     28518    -0.0052095  -0.0072320	-0.0090098
 28518     28578    -0.0052942  -0.0074694	-0.0089652
 28578     28638    -0.0051586  -0.0074318	-0.0092105
 28638     28698    -0.0052022  -0.0074614	-0.0092092
 28698     28758    -0.0051714  -0.0074424	-0.0091173
 28758     28818    -0.0052031  -0.0073568	-0.0094433
 28818     28878    -0.0053108  -0.0074798	-0.0091531
 28878     28938    -0.0051927  -0.0072782	-0.0093785
 28938     28998    -0.0051927  -0.0072782	-0.0093785     
